"statefp","name","min_x","min_y","max_x","max_y"
"01","Alabama",-88.473,30.223,-84.889,35.008
"02","Alaska",-179.147,51.216,179.778,71.388
"04","Arizona",-114.817,31.332,-109.045,37.004
"05","Arkansas",-94.618,33.004,-89.641,36.5
"06","California",-124.41,32.534,-114.131,42.009
"08","Colorado",-109.06,36.992,-102.042,41.003
"09","Connecticut",-73.728,40.98,-71.787,42.051
"10","Delaware",-75.789,38.451,-75.049,39.839
"11","District of Columbia",-77.12,38.792,-76.909,38.995
"12","Florida",-87.635,24.521,-80.031,31.001
"13","Georgia",-85.605,30.358,-80.84,35.001
"15","Hawaii",-178.335,18.91,-154.807,28.402
"16","Idaho",-117.243,41.988,-111.044,49.001
"17","Illinois",-91.513,36.97,-87.495,42.508
"18","Indiana",-88.098,37.772,-84.785,41.761
"19","Iowa",-96.639,40.376,-90.14,43.501
"20","Kansas",-102.052,36.993,-94.588,40.003
"21","Kentucky",-89.572,36.497,-81.965,39.147
"22","Louisiana",-94.043,28.929,-88.817,33.019
"23","Maine",-71.084,42.978,-66.95,47.46
"24","Maryland",-79.488,37.912,-75.049,39.723
"25","Massachusetts",-73.508,41.238,-69.928,42.887
"26","Michigan",-90.418,41.696,-82.413,48.239
"27","Minnesota",-97.239,43.499,-89.494,49.384
"28","Mississippi",-91.655,30.175,-88.098,34.996
"29","Missouri",-95.775,35.996,-89.099,40.614
"30","Montana",-116.049,44.358,-104.04,49.001
"31","Nebraska",-104.054,40,-95.308,43.002
"32","Nevada",-120.006,35.002,-114.04,42.002
"33","New Hampshire",-72.557,42.697,-70.611,45.305
"34","New Jersey",-75.56,38.929,-73.894,41.357
"35","New Mexico",-109.05,31.332,-103.002,37
"36","New York",-79.762,40.496,-71.856,45.016
"37","North Carolina",-84.322,33.842,-75.461,36.588
"38","North Dakota",-104.049,45.935,-96.555,49.001
"39","Ohio",-84.82,38.403,-80.519,41.977
"40","Oklahoma",-103.003,33.616,-94.431,37.002
"41","Oregon",-124.566,41.992,-116.464,46.291
"42","Pennsylvania",-80.52,39.72,-74.69,42.27
"44","Rhode Island",-71.863,41.146,-71.121,42.019
"45","South Carolina",-83.354,32.038,-78.547,35.215
"46","South Dakota",-104.058,42.48,-96.437,45.945
"47","Tennessee",-90.31,34.983,-81.647,36.678
"48","Texas",-106.646,25.837,-93.508,36.501
"49","Utah",-114.053,36.998,-109.041,42.002
"50","Vermont",-73.438,42.727,-71.465,45.017
"51","Virginia",-83.675,36.541,-75.242,39.466
"53","Washington",-124.763,45.544,-116.916,49.002
"54","West Virginia",-82.645,37.201,-77.72,40.639
"55","Wisconsin",-92.888,42.492,-86.805,47.081
"56","Wyoming",-111.055,40.995,-104.052,45.006
"60","American Samoa",-171.09,-14.549,-168.143,-11.047
"66","Guam",144.618,13.234,144.957,13.654
"69","Commonwealth of the Northern Mariana Islands",144.886,14.11,146.065,20.553
"72","Puerto Rico",-67.945,17.883,-65.221,18.516
"78","United States Virgin Islands",-65.085,17.675,-64.566,18.416
